# source: papers/2026-06-emission-gap/emission_gap_paper.tex; generated by: code/2026-06-emission-gap/mahler_gap.py
b,c,mahler_measure,in_open_gap_1_phi
-6,-1,6.162277660168379,False
-6,0,6.000000000000000,False
-6,1,5.828427124746190,False
-6,2,5.645751311064591,False
-6,3,5.449489742783178,False
-6,4,5.236067977499790,False
-6,5,5.000000000000000,False
-6,6,6.000000000000000,False
-6,7,7.000000000000000,False
-6,8,8.000000000000000,False
-6,9,9.000000000000000,False
-6,10,10.00000000000000,False
-6,11,11.00000000000000,False
-6,12,12.00000000000000,False
-5,-12,12.00000000000000,False
-5,-11,11.00000000000000,False
-5,-10,10.00000000000000,False
-5,-9,9.000000000000000,False
-5,-8,8.000000000000000,False
-5,-7,7.000000000000000,False
-5,-6,6.000000000000000,False
-5,-5,5.854101966249685,False
-5,-4,5.701562118716424,False
-5,-3,5.541381265149110,False
-5,-2,5.372281323269014,False
-5,-1,5.192582403567252,False
-5,0,5.000000000000000,False
-5,1,4.791287847477920,False
-5,2,4.561552812808830,False
-5,3,4.302775637731995,False
-5,4,4.000000000000000,False
-5,5,5.000000000000000,False
-5,6,6.000000000000000,False
-5,7,7.000000000000000,False
-5,8,8.000000000000000,False
-5,9,9.000000000000000,False
-5,10,10.00000000000000,False
-5,11,11.00000000000000,False
-5,12,12.00000000000000,False
-4,-12,12.00000000000000,False
-4,-11,11.00000000000000,False
-4,-10,10.00000000000000,False
-4,-9,9.000000000000000,False
-4,-8,8.000000000000000,False
-4,-7,7.000000000000000,False
-4,-6,6.000000000000000,False
-4,-5,5.000000000000000,False
-4,-4,4.828427124746190,False
-4,-3,4.645751311064591,False
-4,-2,4.449489742783178,False
-4,-1,4.236067977499790,False
-4,0,4.000000000000000,False
-4,1,3.732050807568877,False
-4,2,3.414213562373095,False
-4,3,3.000000000000000,False
-4,4,4.000000000000000,False
-4,5,5.000000000000000,False
-4,6,6.000000000000000,False
-4,7,7.000000000000000,False
-4,8,8.000000000000000,False
-4,9,9.000000000000000,False
-4,10,10.00000000000000,False
-4,11,11.00000000000000,False
-4,12,12.00000000000000,False
-3,-12,12.00000000000000,False
-3,-11,11.00000000000000,False
-3,-10,10.00000000000000,False
